Epoch,Loss,Prec@1,Prec@5
0,3.12277,15.2284,55.736
0,2.82463,20.203,64.3655
1,2.07919,32.6904,77.5635
2,1.83927,35.1269,84.6701
3,1.61051,43.1472,89.8477
4,1.47317,48.6294,90.1523
5,1.42491,51.269,91.8782
6,1.30366,56.2437,93.401
7,1.23098,57.868,94.2132
8,0.97789,66.599,95.736
9,0.87264,70.2538,97.4619
10,0.83182,71.9797,97.0558
11,0.84814,71.269,97.3604
0,0.75051,73.6041,98.2741
1,0.76594,72.7919,97.7665
2,0.76096,75.4315,97.4619
3,0.72949,74.8223,98.1726
4,0.65438,77.7665,98.9848
5,0.64517,78.3756,98.3756
6,0.65648,78.7817,97.5635
7,0.62537,79.0863,98.1726
8,0.65897,77.665,97.868
9,0.65942,78.5787,98.0711
10,0.60567,80.1015,98.5787
11,0.64463,77.3604,98.4772
12,0.62329,79.4924,98.3756
13,0.63396,79.0863,98.4772
14,0.62993,78.8832,98.5787
15,0.66503,77.5635,99.0863
16,0.61934,80.203,97.868
17,0.57286,80.7107,98.4772
18,0.61768,80.0,98.6802
19,0.65991,78.0711,98.1726
20,0.61923,79.1878,98.5787
21,0.62777,77.7665,99.0863
22,0.59773,80.7107,98.9848
23,0.6209,78.3756,98.5787
24,0.62961,78.9848,98.5787
25,0.62258,79.0863,98.7817
26,0.6232,79.0863,98.0711
27,0.6053,79.5939,98.3756
28,0.56618,80.9137,98.9848
29,0.60156,80.6091,98.3756
30,0.58082,81.6244,98.7817
31,0.60976,79.4924,98.4772
32,0.59836,80.9137,98.7817
33,0.62599,79.6954,98.0711
34,0.649,77.3604,98.2741
35,0.63001,79.6954,98.6802
36,0.62163,79.6954,98.9848
37,0.62616,79.3909,98.3756
38,0.5801,80.5076,98.5787
39,0.63966,78.9848,97.9695
40,0.68244,78.2741,98.5787
41,0.61073,78.3756,98.3756
42,0.59745,78.7817,98.4772
43,0.62141,79.4924,98.0711
44,0.62786,78.1726,98.9848
45,0.62268,78.1726,98.8832
46,0.61791,79.4924,98.3756
47,0.63918,79.1878,98.3756
48,0.63156,78.2741,98.3756
49,0.63223,78.3756,98.4772
50,0.65729,77.868,98.8832
51,0.58974,81.2183,98.6802
52,0.665,78.0711,98.1726
53,0.63156,79.1878,98.1726
54,0.631,79.4924,98.2741
55,0.57691,81.2183,98.9848
56,0.63047,77.868,98.3756
57,0.64176,78.5787,98.2741
58,0.63002,79.4924,98.4772
59,0.63187,80.0,98.2741
60,0.63408,79.1878,98.1726
61,0.63019,77.868,98.3756
62,0.652,79.0863,98.0711
63,0.63118,78.7817,98.0711
64,0.63413,78.1726,98.4772
65,0.63089,77.7665,98.8832
66,0.63442,78.7817,98.4772
67,0.62841,79.2893,98.6802
68,0.6177,78.6802,98.8832
69,0.62452,79.1878,98.7817
70,0.6394,79.3909,98.6802
71,0.64585,78.7817,98.3756
72,0.64147,80.3046,98.1726
73,0.67193,77.2589,97.868
74,0.64498,79.1878,98.0711
75,0.60942,80.1015,98.5787
76,0.637,79.0863,98.2741
77,0.56909,80.6091,99.0863
78,0.60937,79.4924,98.7817
79,0.56948,81.1168,98.7817
80,0.61028,79.5939,98.2741
81,0.62434,78.9848,98.3756
82,0.63292,77.868,98.5787
83,0.59456,80.5076,98.5787
84,0.6278,78.5787,98.5787
85,0.64342,79.2893,97.9695
86,0.62361,80.1015,97.7665
87,0.61137,78.0711,98.4772
88,0.6307,79.6954,98.0711
89,0.64184,80.1015,98.0711
90,0.67916,75.6345,98.4772
91,0.65059,78.4772,98.2741
92,0.62058,79.8985,98.0711
93,0.64801,78.7817,97.4619
94,0.58346,80.9137,99.0863
95,0.62212,78.1726,98.3756
96,0.64991,79.1878,98.1726
97,0.637,79.2893,97.9695
