Epoch,Loss,Prec@1,Prec@5
0,1.36736,55.8376,87.1066
1,0.31148,92.6904,100.0
2,0.22178,95.3299,99.8985
3,0.17743,95.8376,99.8985
4,0.11427,97.9695,99.8985
5,0.12087,97.5635,99.797
6,0.11819,97.4619,100.0
7,0.1275,97.2589,99.8985
8,0.11741,97.4619,99.8985
9,0.12518,97.1574,100.0
10,0.10313,98.1726,100.0
11,0.10385,98.3756,100.0
12,0.09691,98.4772,99.8985
13,0.10521,98.2741,100.0
14,0.09885,98.8832,100.0
15,0.11211,97.665,99.797
16,0.11142,98.2741,99.797
17,0.11297,97.7665,99.8985
18,0.11104,97.665,100.0
19,0.09441,98.3756,100.0
20,0.10444,98.3756,100.0
21,0.1283,97.4619,99.797
22,0.10761,97.868,100.0
23,0.11232,97.7665,99.797
24,0.12192,97.665,99.797
25,0.12054,97.665,100.0
26,0.10338,98.5787,99.8985
27,0.1317,96.9543,100.0
28,0.10902,97.5635,100.0
29,0.11065,97.7665,99.797
30,0.1153,98.3756,100.0
31,0.11395,97.4619,99.797
32,0.11846,97.5635,99.797
33,0.11105,97.665,99.8985
34,0.10506,97.7665,100.0
35,0.10417,98.1726,99.797
36,0.11741,97.665,100.0
37,0.10526,97.9695,100.0
38,0.11121,97.665,99.8985
39,0.1044,98.4772,99.8985
40,0.08997,98.6802,99.8985
41,0.12275,97.0558,99.8985
42,0.13571,97.1574,99.6954
43,0.11306,97.5635,100.0
44,0.12025,97.4619,99.8985
45,0.11389,97.5635,99.8985
46,0.09569,98.3756,100.0
47,0.11402,97.665,99.8985
48,0.12604,97.3604,99.797
49,0.10747,97.868,99.8985
50,0.11218,97.868,99.8985
51,0.10272,98.5787,99.6954
52,0.10401,98.3756,99.8985
53,0.10446,97.9695,100.0
54,0.12732,97.4619,99.8985
55,0.1037,97.665,100.0
56,0.12546,97.3604,100.0
57,0.09274,98.7817,100.0
58,0.10391,98.0711,99.8985
59,0.11853,97.3604,100.0
60,0.13842,97.0558,99.8985
61,0.13586,96.8528,100.0
62,0.08683,98.6802,100.0
63,0.09561,98.1726,99.8985
64,0.10742,97.9695,100.0
65,0.12717,97.4619,99.8985
66,0.10857,97.5635,99.8985
67,0.09958,98.4772,99.8985
68,0.10764,97.9695,99.8985
69,0.11107,98.1726,99.797
70,0.1061,97.7665,99.797
71,0.12608,96.8528,100.0
72,0.12408,97.3604,99.8985
73,0.11623,97.665,99.8985
74,0.12637,97.7665,100.0
75,0.10928,97.9695,100.0
76,0.12172,97.2589,100.0
77,0.09326,98.1726,100.0
78,0.11268,97.7665,99.8985
79,0.10453,98.1726,100.0
80,0.11514,97.868,100.0
81,0.14285,96.2437,100.0
82,0.11706,97.7665,100.0
83,0.11553,97.665,100.0
84,0.12207,97.665,99.8985
85,0.10742,98.0711,99.797
86,0.09287,98.5787,100.0
87,0.12768,96.8528,99.797
88,0.12305,97.7665,99.8985
89,0.09969,98.3756,99.8985
90,0.10521,98.2741,99.6954
91,0.1063,98.4772,99.8985
92,0.09746,98.7817,100.0
93,0.10901,97.5635,100.0
94,0.10683,97.868,100.0
95,0.12014,97.665,99.8985
96,0.11815,97.3604,99.8985
97,0.10082,98.3756,99.8985
98,0.11105,97.9695,99.8985
99,0.13536,96.8528,99.797
100,0.11044,98.1726,99.797
101,0.10179,98.0711,99.8985
102,0.0959,98.4772,100.0
103,0.1149,97.1574,100.0
104,0.1046,98.3756,99.8985
105,0.12725,97.5635,99.6954
106,0.1026,98.7817,100.0
107,0.12092,97.2589,99.8985
108,0.10943,97.665,99.8985
109,0.10615,97.7665,100.0
110,0.111,97.9695,100.0
111,0.11206,97.9695,100.0
112,0.11099,98.1726,99.8985
113,0.10576,97.5635,100.0
114,0.10757,98.0711,99.8985
115,0.09912,98.3756,99.8985
116,0.11108,98.0711,99.8985
117,0.11004,98.4772,100.0
118,0.10242,98.0711,100.0
119,0.12008,97.2589,99.797
120,0.10031,98.7817,100.0
121,0.11064,98.1726,99.797
122,0.12002,97.5635,99.8985
123,0.10481,97.9695,99.8985
124,0.10797,97.868,99.8985
125,0.10499,97.9695,100.0
126,0.11796,97.5635,99.8985
127,0.08696,98.8832,100.0
128,0.11411,97.4619,99.8985
129,0.11624,97.2589,99.797
130,0.12232,97.4619,99.797
131,0.11472,97.5635,100.0
132,0.12853,96.8528,99.8985
133,0.13079,97.1574,99.8985
134,0.10914,98.1726,100.0
135,0.09573,98.7817,99.797
136,0.10521,97.7665,100.0
137,0.10987,97.7665,99.8985
138,0.10418,98.0711,100.0
139,0.10065,98.0711,99.8985
140,0.11315,97.868,100.0
141,0.10711,98.3756,99.8985
142,0.11002,97.665,100.0
143,0.11188,97.9695,99.797
144,0.10195,98.1726,100.0
145,0.12098,97.3604,99.8985
146,0.10526,98.2741,99.8985
147,0.11467,97.665,100.0
148,0.09916,98.3756,100.0
149,0.11288,97.665,99.8985
150,0.102,98.5787,100.0
151,0.11629,98.1726,99.6954
152,0.10525,98.2741,99.8985
153,0.12703,97.2589,100.0
154,0.1229,97.1574,99.8985
155,0.10699,98.0711,100.0
156,0.11503,97.9695,99.8985
157,0.12014,97.4619,99.8985
158,0.11632,97.868,99.797
159,0.10041,97.665,100.0
160,0.10311,98.0711,99.8985
161,0.0997,98.0711,100.0
162,0.11828,97.9695,100.0
163,0.10988,97.868,100.0
164,0.12006,97.5635,99.8985
165,0.11023,97.4619,99.8985
166,0.11543,97.7665,100.0
167,0.11939,97.4619,99.8985
168,0.09177,98.5787,100.0
169,0.12174,97.5635,99.8985
170,0.12226,97.2589,100.0
171,0.12484,98.0711,99.5939
172,0.11016,97.665,99.797
173,0.12213,97.3604,100.0
174,0.12043,98.1726,99.6954
175,0.11942,97.868,99.8985
176,0.11752,97.7665,99.797
177,0.11368,98.0711,99.797
178,0.10496,98.1726,100.0
179,0.10738,97.9695,100.0
180,0.11453,97.665,100.0
181,0.09577,98.5787,100.0
182,0.09437,98.7817,99.8985
183,0.10248,98.2741,99.8985
184,0.11985,97.2589,99.8985
185,0.11148,97.1574,99.8985
186,0.11301,97.9695,99.797
187,0.10515,98.4772,99.8985
188,0.11581,97.7665,99.8985
189,0.09017,98.5787,100.0
190,0.12102,97.1574,99.797
191,0.09089,98.2741,99.8985
192,0.11164,97.868,99.8985
193,0.13082,97.5635,99.6954
194,0.09461,98.3756,100.0
195,0.1075,97.665,99.8985
196,0.10136,97.5635,100.0
197,0.11401,97.868,99.8985
198,0.1197,97.5635,99.8985
199,0.10532,98.4772,100.0
